"filename", "language", "Markdown", "Docker", "JSON with Comments", "JavaScript", "TypeScript React", "YAML", "JSON", "Ignore", "SCSS", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"e:\GitHub\Meally\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\GitHub\Meally\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\GitHub\Meally\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\GitHub\Meally\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"e:\GitHub\Meally\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"e:\GitHub\Meally\.github\workflows\intergrate.yml", "YAML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"e:\GitHub\Meally\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 3, 42
"e:\GitHub\Meally\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"e:\GitHub\Meally\CONTRIBUTING.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"e:\GitHub\Meally\Dockerfile", "Docker", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 19
"e:\GitHub\Meally\GETTING_STARTED.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"e:\GitHub\Meally\README.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45
"e:\GitHub\Meally\SECURITY.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"e:\GitHub\Meally\about_the_project\Helpful_items.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\GitHub\Meally\about_the_project\Planning\Navbar.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"e:\GitHub\Meally\about_the_project\things_learnt\Jacob.s.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"e:\GitHub\Meally\jest.config.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
